scene,chosen_step,chosen_knee,median,p90,p99,frac_over_50,frac_over_80,frac_over_100,hi_sat,hi_bloblike,headroom_ev
_DSC5330,1,0.95,0.5449,1.3662,1.7981,0.5287,0.3803,0.3052,0.4991,0.8306,2.3333
_DSC5332,3,0.65,0.9440,1.7273,2.4274,0.7572,0.6206,0.4694,0.3662,0.9348,2.3120
_DSC5343,1,0.95,0.6422,1.9119,2.1988,0.6451,0.3528,0.2602,0.3920,0.8950,2.3104
_DSC5385,2.5,0.725,0.6977,2.0165,3.5368,0.6415,0.4299,0.3299,0.3725,0.8990,2.3267
_DSC5396,2,0.8,0.4126,1.0820,1.3738,0.4208,0.2531,0.1681,0.3808,0.7314,2.3162
_DSC5413,1,0.95,0.4885,1.5255,2.2393,0.4933,0.3520,0.2703,0.3973,0.8993,2.3261
_DSC5436,1,0.95,0.3544,1.5179,2.0327,0.3945,0.2208,0.1655,0.3672,0.8129,2.1056
_DSC5472,1,0.95,0.5532,1.6099,2.1316,0.5339,0.3771,0.3166,0.3524,0.8233,2.3187
_DSC5531,2,0.8,0.6598,1.0498,1.5459,0.6752,0.2892,0.1157,0.5107,0.9324,2.3213
_DSC5593,2,0.8,0.5086,1.4958,2.6727,0.5052,0.3249,0.2640,0.3404,0.8082,1.8808
_DSC5605,2,0.8,0.6234,1.5887,2.2610,0.5644,0.4104,0.3334,0.3963,0.8174,2.0396
_DSC5648,2,0.8,0.5583,1.3121,2.6377,0.5792,0.2702,0.1805,0.6356,0.8760,1.9313
_DSC5651,3,0.65,0.6656,1.7418,2.6487,0.6595,0.3988,0.2791,0.6076,0.8953,2.1557
_DSC5655,1,0.95,0.5931,1.2449,2.3564,0.5481,0.3754,0.2212,0.4858,0.8962,1.8143
_DSC5658,2,0.8,0.9816,1.4577,2.5358,0.8341,0.6955,0.4794,0.1834,0.9641,2.2229
_DSC5728,1,0.95,0.5431,1.6241,2.3328,0.5299,0.3741,0.3033,0.5506,0.7396,2.2624
